 SIZE OF ARRAY 
 	 30
	 40
	 50
	 60
	 70
	 80
	 90
	 100
	 110
	 120
	 130
	 140
	 150
	 160
	 170
	 180
	 190
	 200
	 210
	 220
	 230
	 240
	 250
	 260
	 270
	 280
	 290
	 300
	 310
	 320
	 330
	 340
	 350
	 360
	 370
	 380
	 390
	 400
	 410
	 420
	 430
	 440
	 450
	 460
	 470
	 480
	 490
	 500
	 510
	 520
	 530
	 540
	 550
	 560
	 570
	 580
	 590
	 600
	 610
	 620
	 630
	 640
	 650
	 660
	 670
	 680
	 690
	 700
	 710
	 720
	 730
	 740
	 750
	 760
	 770
	 780
	 790
	 800
	 810
	 820
	 830
	 840
	 850
	 860
	 870
	 880
	 890
	 900
	 910
	 920
	 930
	 940
	 950
	 960
	 970
	 980
	 990
	 1000
 Comparisons 
 	 280
	 420
	 552
	 688
	 812
	 962
	 1114
	 1270
	 1422
	 1568
	 1744
	 1898
	 2060
	 2228
	 2402
	 2578
	 2724
	 2922
	 3112
	 3280
	 3454
	 3620
	 3762
	 3982
	 4144
	 4346
	 4518
	 4698
	 4892
	 5074
	 5258
	 5476
	 5594
	 5840
	 6048
	 6214
	 6408
	 6618
	 6834
	 7026
	 7218
	 7412
	 7632
	 7804
	 8042
	 8248
	 8450
	 8618
	 8836
	 9026
	 9200
	 9408
	 9646
	 9824
	 10048
	 10266
	 10436
	 10598
	 10854
	 11074
	 11296
	 11502
	 11702
	 11856
	 12120
	 12302
	 12514
	 12742
	 12948
	 13134
	 13334
	 13590
	 13790
	 13946
	 14286
	 14366
	 14572
	 14824
	 15034
	 15308
	 15490
	 15694
	 15860
	 16112
	 16378
	 16540
	 16706
	 16958
	 17152
	 17382
	 17696
	 17824
	 18042
	 18292
	 18546
	 18772
	 18954
	 19210
